,id,y,safra,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,sum_bill,avg_bill,max_bill,sum_bill.1,avg_bill.1,max_bill.1
0,10911,1,200601,220000,2,2,1,53,0,0,0,0,0,0,191879.05,186227.15,180484.2,168163.3,161342.0,158664.35,8165.0,6889.0,6033.0,6247.0,6142.0,6146.0,1153692.0,192282.0,214669.0,39622.0,6603.67,8165.0
1,12564,0,200602,300000,2,1,2,31,0,0,0,-1,-1,-1,11158.0,1616.0,3658.0,658.0,662.0,0.0,1000.0,2700.0,658.0,662.0,0.0,0.0,17752.0,2958.67,11158.0,5020.0,836.67,2700.0
2,370,1,200510,20000,2,2,1,32,3,2,0,0,0,0,20631.0,20010.0,19703.0,11084.0,10918.0,10985.0,0.0,1168.0,384.0,390.0,632.0,616.0,93331.0,15555.17,20631.0,3190.0,531.67,1168.0
3,7703,0,200512,410000,1,3,2,38,-1,-1,-1,-1,-1,-1,4822.0,232.0,2255.0,2546.0,2650.0,6286.0,233.0,2266.0,2558.0,2663.0,6303.0,12.0,18791.0,3131.83,6286.0,14035.0,2339.17,6303.0
4,7465,0,200512,100000,2,2,2,25,0,0,0,-1,-1,-1,8791.0,4910.0,0.0,674.0,0.0,980.0,1000.0,0.0,674.0,0.0,980.0,4413.0,15355.0,2559.17,8791.0,7067.0,1177.83,4413.0
5,8309,0,200512,80000,1,1,2,25,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,19089,0,200604,20000,2,2,2,27,-1,2,0,0,0,2,20556.0,19403.0,13536.0,17623.0,18662.0,10243.0,8.0,2072.0,15000.0,1500.0,0.0,10000.0,100023.0,16670.5,20556.0,28580.0,4763.33,15000.0
7,18305,0,200604,50000,2,2,1,33,0,0,0,0,0,0,32752.0,34202.0,35242.0,34776.0,35497.0,36325.0,2000.0,1600.0,1600.0,1300.0,1400.0,1600.0,208794.0,34799.0,36325.0,9500.0,1583.33,2000.0
8,15681,0,200603,220000,1,1,2,32,-1,-1,0,-1,-1,-1,13596.0,34661.0,29084.0,31770.0,3322.0,32528.0,18006.25,11000.0,15500.7,3322.0,15620.05,16992.4,144961.0,24160.17,34661.0,253242.0,42207.0,139961.0
9,17214,1,200603,50000,2,2,1,24,1,2,0,0,2,2,12744.0,12243.0,16215.0,20490.0,19990.0,0.0,0.0,4200.0,4700.0,0.0,0.0,3390.0,81682.0,13613.67,20490.0,12290.0,2048.33,4700.0
10,12056,0,200602,360000,2,1,1,52,-1,-1,-1,-1,-1,-1,7542.0,6302.0,4719.0,1577.0,1577.0,21220.0,6302.0,4719.0,1577.0,1577.0,15620.05,10744.0,42937.0,7156.17,21220.0,46139.0,7689.83,21220.0
11,2494,0,200510,290000,2,2,1,32,0,0,0,0,0,0,78200.0,79726.0,80890.0,81615.0,75661.0,77012.0,3700.0,3600.0,3000.0,3000.0,3000.0,3000.0,473104.0,78850.67,81615.0,19300.0,3216.67,3700.0
12,5690,0,200511,200000,1,2,2,37,-2,-2,-2,-2,-2,-2,162.0,536.0,0.0,495.0,0.0,0.0,536.0,0.0,495.0,0.0,0.0,546.0,1193.0,198.83,536.0,1577.0,262.83,546.0
